uf,cod._uf,cod_municipio,nome_municipio,populacao
BA,29,0004704,Buerarema,14950.0
BA,29,0004753,Buritirama,20221.0
BA,29,0004803,Caatiba,6128.0
BA,29,0004852,Cabaceiras Do Paraguaçu,17024.0
BA,29,0004902,Cachoeira,30498.0
BA,29,0005008,Caculé,23293.0
BA,29,0005107,Caém,10733.0
BA,29,0005156,Caetanos,11432.0
BA,29,0005206,Caetité,54730.0
BA,29,0005305,Cafarnaum,18057.0
BA,29,0005404,Cairu,18578.0
BA,29,0005503,Caldeirão Grande,13597.0
BA,29,0005602,Camacan,22485.0
BA,29,0005701,Camaçari,321636.0
BA,29,0005800,Camamu,31694.0
BA,29,0005909,Campo Alegre De Lourdes,32500.0
BA,29,0006006,Campo Formoso,75112.0
BA,29,0006105,Canápolis,10641.0
BA,29,0006204,Canarana,25007.0
BA,29,0006303,Canavieiras,34392.0
BA,29,0006402,Candeal,7940.0
BA,29,0006501,Candeias,74854.0
BA,29,0006600,Candiba,13417.0
BA,29,0006709,Cândido Sales,26469.0
BA,29,0006808,Cansanção,39725.0
BA,29,0006824,Canudos,16693.0
BA,29,0006857,Capela Do Alto Alegre,11035.0
BA,29,0006873,Capim Grosso,35437.0
BA,29,0006899,Caraíbas,10259.0
BA,29,0006907,Caravelas,21384.0
BA,29,0007004,Cardeal Da Silva,8633.0
BA,29,0007103,Carinhanha,30439.0
BA,29,0007202,Casa Nova,76131.0
BA,29,0007301,Castro Alves,25470.0
BA,29,0007400,Catolândia,3567.0
BA,29,0007509,Catu,50109.0
BA,29,0007558,Caturama,9108.0
BA,29,0007608,Central,16847.0
BA,29,0007707,Chorrochó,10933.0
BA,29,0007806,Cícero Dantas,32292.0
BA,29,0007905,Cipó,17875.0
BA,29,0008002,Coaraci,17557.0
BA,29,0008101,Cocos,19865.0
BA,29,0008200,Conceição Da Feira,21529.0
BA,29,0008309,Conceição Do Almeida,16134.0
BA,29,0008408,Conceição Do Coité,71601.0
BA,29,0008507,Conceição Do Jacuípe,37622.0
BA,29,0008606,Conde,24460.0
BA,29,0008705,Condeúba,17567.0
BA,29,0008804,Contendas Do Sincorá,4499.0
BA,29,0008903,Coração De Maria,28408.0
BA,29,0009000,Cordeiros,7748.0
BA,29,0009109,Coribe,14463.0
BA,29,0009208,Coronel João Sá,17598.0
BA,29,0009307,Correntina,34266.0
BA,29,0009406,Cotegipe,13463.0
BA,29,0009505,Cravolândia,4491.0
BA,29,0009604,Crisópolis,20346.0
BA,29,0009703,Cristópolis,14549.0
BA,29,0009802,Cruz Das Almas,63326.0
BA,29,0009901,Curaçá,36127.0
BA,29,0010008,Dário Meira,11054.0
BA,29,0010057,Dias D'Ávila,75296.0
BA,29,0010107,Dom Basílio,12329.0
BA,29,0010206,Dom Macedo Costa,4608.0
BA,29,0010305,Elísio Medrado,8069.0
BA,29,0010404,Encruzilhada,19450.0
BA,29,0010503,Entre Rios,39890.0
BA,29,0010602,Esplanada,34163.0
BA,29,0010701,Euclides Da Cunha,64768.0
BA,29,0010727,Eunápolis,121067.0
BA,29,0010750,Fátima,18480.0
BA,29,0010776,Feira Da Mata,5831.0
BA,29,0010800,Feira De Santana,660806.0
BA,29,0010859,Filadélfia,18637.0
BA,29,0010909,Firmino Alves,4993.0
BA,29,0011006,Floresta Azul,11455.0
BA,29,0011105,Formosa Do Rio Preto,27567.0
BA,29,0011204,Gandu,34051.0
BA,29,0011253,Gavião,4489.0
BA,29,0011303,Gentio Do Ouro,11276.0
BA,29,0011402,Glória,16107.0
BA,29,0011501,Gongogi,5479.0
BA,29,0011600,Governador Mangabeira,21353.0
BA,29,0011659,Guajeru,8177.0
BA,29,0011709,Guanambi,93488.0
BA,29,0011808,Guaratinga,19413.0
BA,29,0011857,Heliópolis,13055.0
BA,29,0011907,Iaçu,25315.0
BA,29,0012004,Ibiassucê,10746.0
BA,29,0012103,Ibicaraí,22131.0
BA,29,0012202,Ibicoara,21827.0
BA,29,0012301,Ibicuí,14264.0
BA,29,0012400,Ibipeba,17134.0
BA,29,0012509,Ibipitanga,14317.0
BA,29,0012608,Ibiquera,3833.0
BA,29,0012707,Ibirapitanga,26917.0
BA,29,0012806,Ibirapuã,9297.0
BA,29,0012905,Ibirataia,19377.0
BA,29,0013002,Ibitiara,15049.0
BA,29,0013101,Ibititá,17517.0
BA,29,0013200,Ibotirama,27723.0
BA,29,0013309,Ichu,6428.0
BA,29,0013408,Igaporã,16069.0
BA,29,0013457,Igrapiúna,13501.0
BA,29,0013507,Iguaí,21763.0
BA,29,0013606,Ilhéus,189149.0
BA,29,0013705,Inhambupe,35390.0
BA,29,0013804,Ipecaetá,14016.0
BA,29,0013903,Ipiaú,42429.0
BA,29,0014000,Ipirá,59222.0
BA,29,0014109,Ipupiara,10349.0
BA,29,0014208,Irajuba,6232.0
BA,29,0014307,Iramaia,11038.0
BA,29,0014406,Iraquara,24833.0
BA,29,0014505,Irará,29572.0
BA,29,0014604,Irecê,78781.0
BA,29,0014653,Itabela,29588.0
BA,29,0014703,Itaberaba,68425.0
BA,29,0014802,Itabuna,196344.0
BA,29,0014901,Itacaré,29496.0
BA,29,0015007,Itaeté,13775.0
BA,29,0015106,Itagi,14347.0
BA,29,0015205,Itagibá,15796.0
BA,29,0015304,Itagimirim,6490.0
BA,29,0015353,Itaguaçu Da Bahia,12669.0
BA,29,0015403,Itaju Do Colônia,6118.0
BA,29,0015502,Itajuípe,19191.0
BA,29,0015601,Itamaraju,61999.0
BA,29,0015700,Itamari,7187.0
BA,29,0015809,Itambé,25088.0
BA,29,0015908,Itanagra,6078.0
BA,29,0016005,Itanhém,18203.0
BA,29,0016104,Itaparica,20353.0
BA,29,0016203,Itapé,10649.0
BA,29,0016302,Itapebi,9464.0
BA,29,0016401,Itapetinga,68724.0
BA,29,0016500,Itapicuru,33284.0
BA,29,0016609,Itapitanga,10640.0
BA,29,0016708,Itaquara,8464.0
BA,29,0016807,Itarantim,17485.0
BA,29,0016856,Itatim,16454.0
BA,29,0016906,Itiruçu,11211.0
BA,29,0017003,Itiúba,35490.0
BA,29,0017102,Itororó,16849.0
BA,29,0017201,Ituaçu,18506.0
BA,29,0017300,Ituberá,22154.0
BA,29,0017334,Iuiu,11559.0
BA,29,0017359,Jaborandi,9600.0
BA,29,0017409,Jacaraci,14910.0
BA,29,0017508,Jacobina,86896.0
BA,29,0017607,Jaguaquara,47624.0
BA,29,0017706,Jaguarari,34528.0
BA,29,0017805,Jaguaripe,18349.0
BA,29,0017904,Jandaíra,9508.0
BA,29,0018001,Jequié,169201.0
BA,29,0018100,Jeremoabo,39539.0
BA,29,0018209,Jiquiriçá,14063.0
BA,29,0018308,Jitaúna,14824.0
BA,29,0018357,João Dourado,25892.0
BA,29,0018407,Juazeiro,256122.0
BA,29,0018456,Jucuruçu,9930.0
BA,29,0018506,Jussara,17007.0
BA,29,0018555,Jussari,6048.0
BA,29,0018605,Jussiape,7567.0
BA,29,0018704,Lafaiete Coutinho,4228.0
BA,29,0018753,Lagoa Real,14550.0
BA,29,0018803,Laje,21705.0
BA,29,0018902,Lajedão,3994.0
